,UniprotID,Name,kinhub,klifs,pkinfam,reviewed_uniprot,dunbrack_msa
0,A0A0B4J2F2,SIK1B,False,False,True,True,True
1,A2A3N6,PIPSL,False,False,False,True,False
2,A2RU49,HYKK,False,False,False,True,False
3,A4D2B8,PM2P1,False,False,False,True,False
4,A4QPH2,PI4KAP2|PI4P2,False,True,False,True,False
5,B5MCJ9,TRIM66,True,False,False,False,False
6,O00141,SGK1,True,True,True,True,True
7,O00142,KITM,False,False,False,True,False
8,O00238,BMPR1B|BMR1B,True,True,True,True,True
9,O00311,CDC7,True,True,True,True,True
10,O00329,PIK3CD|PK3CD,False,True,True,True,False
11,O00418,EEF2K|EF2K,True,True,True,True,False
12,O00443,PIK3C2A|P3C2A,False,True,False,True,False
13,O00444,PLK4,True,True,True,True,True
14,O00506,STK25,True,True,True,True,True
15,O00746,NDKM,False,False,False,True,False
16,O00750,P3C2B|PIK3C2B,False,True,False,True,False
17,O00764,PDXK,False,False,False,True,False
18,O14578,CIT|CTRO,True,True,True,True,True
19,O14730,RIOK3,True,True,True,True,False
20,O14733,MAP2K7|MP2K7,True,True,True,True,True
21,O14757,CHK1|CHEK1,True,True,True,True,True
22,O14786,NRP1,False,False,False,True,False
23,O14874,BCKDK|BCKD,True,True,True,True,False
24,O14920,IKBKB|IKKB,True,True,True,True,True
25,O14936,CASK|CSKP,True,True,True,True,True
26,O14965,AURKA,True,True,True,True,True
27,O14976,GAK,True,True,True,True,True
28,O14986,PI51B|PIP5K1B,False,True,False,True,False
29,O15021,MAST4,True,True,True,True,True
30,O15075,DCLK1,True,True,True,True,True
31,O15111,CHUK|IKKA,True,True,True,True,True
32,O15146,MUSK,True,True,True,True,True
33,O15164,TRIM24|TIF1A,True,True,False,True,False
34,O15197,EPHB6,True,True,True,True,True
35,O15264,MK13|MAPK13,True,True,True,True,True
36,O15297,PPM1D,False,False,False,True,False
37,O15530,PDPK1,True,True,True,True,True
38,O43187,IRAK2,True,True,True,True,True
39,O43252,PAPS1,False,False,False,True,False
40,O43283,MAP3K13|M3K13,True,True,True,True,True
41,O43293,DAPK3,True,True,True,True,True
42,O43314,VIP2,False,False,False,True,False
43,O43318,M3K7|MAP3K7,True,True,True,True,True
44,O43353,RIPK2,True,True,True,True,True
45,O43683,BUB1,True,True,True,True,True
46,O43741,AAKB2,False,False,False,True,False
47,O43781,DYRK3,True,True,True,True,True
48,O43921,EFNA2,False,True,False,False,False
49,O43930,PRKY,True,True,True,True,True
50,O60229,KALRN,True,True,True,True,True
51,O60285,NUAK1,True,True,True,True,True
52,O60307,MAST3,True,True,True,True,True
53,O60331,PIP5K1C|PI51C,False,True,False,True,False
54,O60361,NDK8,False,False,False,True,False
55,O60462,NRP2,False,False,False,True,False
56,O60566,BUB1B,True,True,True,True,True
57,O60674,JAK2|JAK2-b,True,True,True,True,True
58,O60825,F262,False,False,False,True,False
59,O60885,BRD4,True,True,False,True,False
60,O75063,XYLK,False,False,False,True,False
61,O75116,ROCK2,True,True,True,True,True
62,O75131,CPNE3,False,False,False,True,False
63,O75191,XYLB,False,False,False,True,False
64,O75385,ULK1,True,True,True,True,True
65,O75414,NDK6,False,False,False,True,False
66,O75460,ERN1,True,True,True,True,True
67,O75582,RPS6KA5-b|RPS6KA5|KS6A5,True,True,True,True,True
68,O75676,RPS6KA4-b|RPS6KA4|KS6A4,True,True,True,True,True
69,O75716,STK16,True,True,True,True,True
70,O75747,P3C2G|PIK3C2G,False,True,False,True,False
71,O75909,CCNK,False,False,False,True,False
72,O75912,DGKI,False,False,False,True,False
73,O75914,PAK3,True,True,True,True,True
74,O75962,TRIO,True,True,True,True,True
75,O76039,CDKL5,True,True,True,True,True
76,O94768,STK17B|ST17B,True,True,True,True,True
77,O94804,STK10,True,True,True,True,True
78,O94806,KPCD3|PRKD3,True,True,True,True,True
79,O94921,CDK14,True,True,True,True,True
80,O95340,PAPS2,False,False,False,True,False
81,O95382,MAP3K6|M3K6,True,True,True,True,True
82,O95544,NADK,False,False,False,True,False
83,O95747,OXSR1,True,True,True,True,True
84,O95819,M4K4|MAP4K4,True,True,True,True,True
85,O95835,LATS1,True,True,True,True,True
86,O96013,PAK4,True,True,True,True,True
87,O96017,CHK2|CHEK2,True,True,True,True,True
88,P00519,ABL1,True,True,True,True,True
89,P00533,EGFR,True,True,True,True,True
90,P00540,MOS,True,True,True,True,True
91,P00558,PGK1,False,False,False,True,False
92,P00568,KAD1,False,False,False,True,False
93,P01185,NEU2,False,False,False,True,False
94,P04049,RAF1,True,True,True,True,True
95,P04183,KITH,False,False,False,True,False
96,P04626,ERBB2,True,True,True,True,True
97,P04629,NTRK1,True,True,True,True,True
98,P05129,PRKCG|KPCG,True,True,True,True,True
99,P05771,KPCB|PRKCB,True,True,True,True,True
100,P06213,INSR,True,True,True,True,True
101,P06239,LCK,True,True,True,True,True
102,P06241,FYN,True,True,True,True,True
103,P06493,CDK1,True,True,True,True,True
104,P06732,KCRM,False,False,False,True,False
105,P07205,PGK2,False,False,False,True,False
106,P07332,FES,True,True,True,True,True
107,P07333,CSF1R,True,True,True,True,True
108,P07947,YES|YES1,True,True,True,True,True
109,P07948,LYN,True,True,True,True,True
110,P07949,RET,True,True,True,True,True
111,P08069,IGF1R,True,True,True,True,True
112,P08237,PFKAM,False,False,False,True,False
113,P08581,MET,True,True,True,True,True
114,P08631,HCK,True,True,True,True,True
115,P08922,ROS1,True,True,True,True,True
116,P09619,PDGFRB|PGFRB,True,True,True,True,True
117,P09769,FGR,True,True,True,True,True
118,P0C1S8,WEE2,True,True,True,True,True
119,P0C263,SBK2,True,True,True,True,True
120,P0C264,SBK3,True,True,True,True,True
121,P10147,CCL3,False,False,False,True,False
122,P10398,ARAF,True,True,True,True,True
123,P10721,KIT,True,True,True,True,True
124,P11274,BCR,True,True,False,True,False
125,P11309,PIM1,True,True,True,True,True
126,P11362,FGFR1,True,True,True,True,True
127,P11387,TOP1,False,False,False,True,False
128,P11717,MPRI,False,False,False,True,False
129,P11801,KPSH1|PSKH1,True,True,True,True,True
130,P11802,CDK4,True,True,True,True,True
131,P11908,PRPS2,False,False,False,True,False
132,P12277,KCRB,False,False,False,True,False
133,P12532,KCRU,False,False,False,True,False
134,P12931,SRC,True,True,True,True,True
135,P13500,CCL2,False,False,False,True,False
136,P13501,CCL5,False,False,False,True,False
137,P14616,INSRR,True,True,True,True,True
138,P14618,KPYM,False,False,False,True,False
139,P14635,CCNB1,False,False,False,True,False
140,P15056,BRAF,True,True,True,True,True
141,P15531,NDKA,False,False,False,True,False
142,P15735,PHKG2,True,True,True,True,True
143,P16066,ANPRA|NPR1,True,True,True,True,True
144,P16118,F261,False,False,False,True,False
145,P16234,PGFRA|PDGFRA,True,True,True,True,True
146,P16591,FER,True,True,True,True,True
147,P17252,PRKCA|KPCA,True,True,True,True,True
148,P17540,KCRS,False,False,False,True,False
149,P17612,PRKACA|KAPCA,True,True,True,True,True
150,P17813,EGLN,False,False,False,True,False
151,P17858,PFKAL,False,False,False,True,False
152,P17948,VGFR1|FLT1,True,True,True,True,True
153,P19367,HXK1,False,False,False,True,False
154,P19525,E2AK2|EIF2AK2,True,True,True,True,True
155,P19784,CSK22|CSNK2A2,True,True,True,True,True
156,P20594,ANPRB|NPR2,True,True,True,True,True
157,P20794,MAK,True,True,True,True,True
158,P21108,PRPS3,False,False,False,True,False
159,P21127,CDK11B|CD11B,True,True,True,True,True
160,P21675,TAF1,True,True,False,True,False
161,P21709,EPHA1,True,True,True,True,True
162,P21802,FGFR2,True,True,True,True,True
163,P21860,ERBB3,True,True,True,True,True
164,P22392,NDKB,False,False,False,True,False
165,P22455,FGFR4,True,True,True,True,True
166,P22607,FGFR3,True,True,True,True,True
167,P22612,KAPCG|PRKACG,True,True,True,True,True
168,P22694,KAPCB|PRKACB,True,True,True,True,True
169,P23443,RPS6KB1|KS6B1,True,True,True,True,True
170,P23458,JAK1-b|JAK1,True,True,True,True,True
171,P23677,IP3KA,False,False,False,True,False
172,P23743,DGKA,False,False,False,True,False
173,P23919,KTHY,False,False,False,True,False
174,P24385,CCND1,False,False,False,True,False
175,P24723,KPCL|PRKCH,True,True,True,True,True
176,P24864,CCNE1,False,False,False,True,False
177,P24941,CDK2,True,True,True,True,True
178,P25092,GUC2C|GUCY2C,True,True,True,True,True
179,P25098,ARBK1|GRK2|ADRBK1,True,True,True,True,True
180,P25440,BRD2,True,True,False,False,False
181,P27037,AVR2A|ACVR2A,True,True,True,True,True
182,P27144,KAD4,False,False,False,True,False
183,P27361,MAPK3|MK03,True,True,True,True,True
184,P27448,MARK3,True,True,True,True,True
185,P27707,DCK,False,False,False,True,False
186,P27708,PYR1,False,False,False,True,False
187,P27987,IP3KB,False,False,False,True,False
188,P28482,MAPK1|MK01,True,True,True,True,True
189,P29317,EPHA2,True,True,True,True,True
190,P29320,EPHA3,True,True,True,True,True
191,P29322,EPHA8,True,True,True,True,True
192,P29323,EPHB2,True,True,True,True,True
193,P29376,LTK,True,True,True,True,True
194,P29597,TYK2|TYK2-b,True,True,True,True,True
195,P30085,KCY,False,False,False,True,False
196,P30281,CCND3,False,False,False,True,False
197,P30291,WEE1,True,True,True,True,True
198,P30530,AXL|UFO,True,True,True,True,True
199,P30613,KPYR,False,False,False,True,False
200,P31152,MK04|MAPK4,True,True,True,True,True
201,P31749,AKT1,True,True,True,True,True
202,P31751,AKT2,True,True,True,True,True
203,P32189,GLPK,False,False,False,True,False
204,P32298,GRK4,True,True,True,True,True
205,P33076,C2TA,False,False,False,True,False
206,P33981,TTK,True,True,True,True,True
207,P34925,RYK,True,True,True,True,True
208,P34947,GRK5,True,True,True,True,True
209,P35557,HXK4|GCK,False,True,False,True,False
210,P35590,TIE1,True,True,True,True,True
211,P35626,ARBK2|ADRBK2|GRK3,True,True,True,True,True
212,P35790,CHKA,False,False,False,True,False
213,P35916,VGFR3|FLT4,True,True,True,True,True
214,P35968,KDR|VGFR2,True,True,True,True,True
215,P36507,MAP2K2|MP2K2,True,True,True,True,True
216,P36888,FLT3,True,True,True,True,True
217,P36894,BMR1A|BMPR1A,True,True,True,True,True
218,P36896,ACVR1B|ACV1B,True,True,True,True,True
219,P36897,TGFBR1|TGFR1,True,True,True,True,True
220,P37023,ACVRL1|ACVL1,True,True,True,True,True
221,P37173,TGFBR2|TGFR2,True,True,True,True,True
