UniprotID,chembl_targets,type
A4QPH2,CHEMBL4105789,SINGLE PROTEIN
A4QPH2,CHEMBL3038509,PROTEIN COMPLEX
O00141,CHEMBL2343,SINGLE PROTEIN
O00238,CHEMBL5476,SINGLE PROTEIN
O00311,CHEMBL2111377,PROTEIN COMPLEX
O00311,CHEMBL5443,SINGLE PROTEIN
O00329,CHEMBL3130,SINGLE PROTEIN
O00329,CHEMBL2111432,PROTEIN COMPLEX
O00329,CHEMBL3559703,PROTEIN COMPLEX GROUP
O00329,CHEMBL3885617,PROTEIN FAMILY
O00418,CHEMBL5026,SINGLE PROTEIN
O00443,CHEMBL1075102,SINGLE PROTEIN
O00444,CHEMBL3788,SINGLE PROTEIN
O00506,CHEMBL5552,SINGLE PROTEIN
O00750,CHEMBL5554,SINGLE PROTEIN
O14578,CHEMBL5579,SINGLE PROTEIN
O14730,CHEMBL5659,SINGLE PROTEIN
O14733,CHEMBL3530,SINGLE PROTEIN
O14757,CHEMBL4630,SINGLE PROTEIN
O14757,CHEMBL3883296,PROTEIN FAMILY
O14920,CHEMBL1991,SINGLE PROTEIN
O14920,CHEMBL2111328,PROTEIN COMPLEX
O14920,CHEMBL3883298,PROTEIN COMPLEX
O14936,CHEMBL1908381,SINGLE PROTEIN
O14965,CHEMBL4722,SINGLE PROTEIN
O14965,CHEMBL3430911,PROTEIN FAMILY
O14965,CHEMBL3883303,PROTEIN FAMILY
O14965,CHEMBL3883304,PROTEIN COMPLEX
O14976,CHEMBL4355,SINGLE PROTEIN
O15021,CHEMBL2417351,SINGLE PROTEIN
O15075,CHEMBL5683,SINGLE PROTEIN
O15111,CHEMBL2111328,PROTEIN COMPLEX
O15111,CHEMBL3476,SINGLE PROTEIN
O15111,CHEMBL3883298,PROTEIN COMPLEX
O15146,CHEMBL5684,SINGLE PROTEIN
O15164,CHEMBL3108638,SINGLE PROTEIN
O15197,CHEMBL2363043,PROTEIN FAMILY
O15197,CHEMBL5836,SINGLE PROTEIN
O15264,CHEMBL2939,SINGLE PROTEIN
O15264,CHEMBL2094115,PROTEIN FAMILY
O15264,CHEMBL3038503,PROTEIN FAMILY
O15530,CHEMBL2534,SINGLE PROTEIN
O43187,CHEMBL4105759,SINGLE PROTEIN
O43283,CHEMBL1163124,SINGLE PROTEIN
O43293,CHEMBL2468,SINGLE PROTEIN
O43318,CHEMBL5776,SINGLE PROTEIN
O43318,CHEMBL3038499,PROTEIN COMPLEX
O43353,CHEMBL5014,SINGLE PROTEIN
O43353,CHEMBL4296139,PROTEIN-PROTEIN INTERACTION
O43683,CHEMBL1772932,SINGLE PROTEIN
O43781,CHEMBL4575,SINGLE PROTEIN
O43921,CHEMBL1795109,SINGLE PROTEIN
O60285,CHEMBL5784,SINGLE PROTEIN
O60307,CHEMBL2417352,SINGLE PROTEIN
O60331,CHEMBL1908383,SINGLE PROTEIN
O60566,CHEMBL4295998,SINGLE PROTEIN
O60674,CHEMBL2971,SINGLE PROTEIN
O60674,CHEMBL3301390,PROTEIN COMPLEX
O60674,CHEMBL3301392,PROTEIN COMPLEX
O60674,CHEMBL3038492,PROTEIN COMPLEX
O60674,CHEMBL2363062,PROTEIN FAMILY
O60885,CHEMBL1163125,SINGLE PROTEIN
O60885,CHEMBL4106143,PROTEIN COMPLEX
O60885,CHEMBL4296614,PROTEIN FAMILY
O60885,CHEMBL4296133,PROTEIN-PROTEIN INTERACTION
O60885,CHEMBL4296138,PROTEIN-PROTEIN INTERACTION
O60885,CHEMBL4296140,PROTEIN-PROTEIN INTERACTION
O60885,CHEMBL4296145,PROTEIN-PROTEIN INTERACTION
O60885,CHEMBL4296148,PROTEIN-PROTEIN INTERACTION
O75116,CHEMBL2111459,PROTEIN FAMILY
O75116,CHEMBL2973,SINGLE PROTEIN
O75385,CHEMBL6006,SINGLE PROTEIN
O75460,CHEMBL1163101,SINGLE PROTEIN
O75582,CHEMBL4237,SINGLE PROTEIN
O75582,CHEMBL3832633,PROTEIN FAMILY
O75676,CHEMBL3125,SINGLE PROTEIN
O75676,CHEMBL3832633,PROTEIN FAMILY
O75716,CHEMBL3938,SINGLE PROTEIN
O75747,CHEMBL1163120,SINGLE PROTEIN
O75914,CHEMBL2999,SINGLE PROTEIN
O75914,CHEMBL3885637,PROTEIN FAMILY
O76039,CHEMBL1163112,SINGLE PROTEIN
O94768,CHEMBL3980,SINGLE PROTEIN
O94804,CHEMBL3981,SINGLE PROTEIN
O94806,CHEMBL2093867,PROTEIN FAMILY
O94806,CHEMBL2096620,PROTEIN FAMILY
O94806,CHEMBL2595,SINGLE PROTEIN
O94921,CHEMBL6162,SINGLE PROTEIN
O94921,CHEMBL4296115,PROTEIN COMPLEX
O94921,CHEMBL3559691,PROTEIN FAMILY
O95382,CHEMBL1163123,SINGLE PROTEIN
O95747,CHEMBL1163104,SINGLE PROTEIN
O95819,CHEMBL6166,SINGLE PROTEIN
O95835,CHEMBL6167,SINGLE PROTEIN
O96013,CHEMBL4482,SINGLE PROTEIN
O96017,CHEMBL2527,SINGLE PROTEIN
O96017,CHEMBL3883296,PROTEIN FAMILY
P00519,CHEMBL1862,SINGLE PROTEIN
P00519,CHEMBL2096618,CHIMERIC PROTEIN
P00519,CHEMBL2111414,PROTEIN FAMILY
P00519,CHEMBL4296119,PROTEIN-PROTEIN INTERACTION
P00519,CHEMBL4296120,PROTEIN-PROTEIN INTERACTION
P00519,CHEMBL4296137,PROTEIN-PROTEIN INTERACTION
P00519,CHEMBL3885630,PROTEIN-PROTEIN INTERACTION
P00519,CHEMBL3885645,CHIMERIC PROTEIN
P00533,CHEMBL203,SINGLE PROTEIN
P00533,CHEMBL2111431,PROTEIN FAMILY
P00533,CHEMBL2363049,PROTEIN FAMILY
P00533,CHEMBL3137284,CHIMERIC PROTEIN
P00540,CHEMBL1075184,SINGLE PROTEIN
P04049,CHEMBL1906,SINGLE PROTEIN
P04049,CHEMBL2111351,PROTEIN FAMILY
P04049,CHEMBL3559685,PROTEIN FAMILY
P04049,CHEMBL4106189,PROTEIN COMPLEX
P04049,CHEMBL3885566,PROTEIN FAMILY
P04049,CHEMBL3883317,PROTEIN FAMILY
P04626,CHEMBL1824,SINGLE PROTEIN
P04626,CHEMBL2111431,PROTEIN FAMILY
P04626,CHEMBL2363049,PROTEIN FAMILY
P04626,CHEMBL4106134,PROTEIN COMPLEX
P04629,CHEMBL2815,SINGLE PROTEIN
P04629,CHEMBL3559684,PROTEIN FAMILY
P04629,CHEMBL3883331,CHIMERIC PROTEIN
