UniprotID,Name,chembl_targets,type,origin
A4QPH2,PI4KAP2,CHEMBL4105789,SINGLE PROTEIN,klifs
O00141,SGK1,CHEMBL2343,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O00238,BMPR1B|BMR1B,CHEMBL5476,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O00311,CDC7,CHEMBL5443,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O00329,PIK3CD,CHEMBL3130,SINGLE PROTEIN,klifs|pkinfam
O00418,EF2K|EEF2K,CHEMBL5026,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot
O00443,PIK3C2A,CHEMBL1075102,SINGLE PROTEIN,klifs|pkinfam
O00444,PLK4,CHEMBL3788,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O00506,STK25,CHEMBL5552,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O00750,PIK3C2B,CHEMBL5554,SINGLE PROTEIN,klifs
O14578,CTRO|CIT,CHEMBL5579,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O14730,RIOK3,CHEMBL5659,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot
O14733,MAP2K7|MP2K7,CHEMBL3530,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O14757,CHEK1|CHK1,CHEMBL4630,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O14874,BCKDK,CHEMBL4879410,SINGLE PROTEIN,kinhub|klifs|pkinfam
O14920,IKBKB|IKKB,CHEMBL1991,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O14936,CASK|CSKP,CHEMBL1908381,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O14965,AURKA,CHEMBL4722,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O14976,GAK,CHEMBL4355,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O14986,PIP5K1B,CHEMBL4802064,SINGLE PROTEIN,klifs
O15021,MAST4,CHEMBL2417351,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O15075,DCLK1,CHEMBL5683,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O15111,IKKA|CHUK,CHEMBL3476,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O15146,MUSK,CHEMBL5684,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
O15164,TRIM24,CHEMBL3108638,SINGLE PROTEIN,kinhub|klifs
