xName,Manning Name,HGNC Name,Kinase Name,Group,Family,SubFamily,UniprotID,chembl_targets,type
ABL1,ABL,ABL1,Tyrosine-protein kinase ABL1,TK,Abl,,P00519,CHEMBL1862,SINGLE PROTEIN
ABL1,ABL,ABL1,Tyrosine-protein kinase ABL1,TK,Abl,,P00519,CHEMBL2096618,CHIMERIC PROTEIN
ABL1,ABL,ABL1,Tyrosine-protein kinase ABL1,TK,Abl,,P00519,CHEMBL2111414,PROTEIN FAMILY
ABL1,ABL,ABL1,Tyrosine-protein kinase ABL1,TK,Abl,,P00519,CHEMBL3885630,PROTEIN-PROTEIN INTERACTION
ABL1,ABL,ABL1,Tyrosine-protein kinase ABL1,TK,Abl,,P00519,CHEMBL3885645,CHIMERIC PROTEIN
ACK,ACK,TNK2,Activated CDC42 kinase 1,TK,Ack,,Q07912,CHEMBL4599,SINGLE PROTEIN
ACTR2,ACTR2,ACVR2A,Activin receptor type-2A,TKL,STKR,STKR2,P27037,CHEMBL5616,SINGLE PROTEIN
ACTR2B,ACTR2B,ACVR2B,Activin receptor type-2B,TKL,STKR,STKR2,Q13705,CHEMBL5466,SINGLE PROTEIN
ADCK4,ADCK4,ADCK4,Uncharacterized aarF domain-containing protein kinase 4,Atypical,ABC1,ABC1-A,Q96D53,CHEMBL5753,SINGLE PROTEIN
BRSK2,BRSK2,BRSK2,Serine/threonine-protein kinase BRSK2,CAMK,CAMKL,BRSK,Q8IWQ3,CHEMBL4574,SINGLE PROTEIN
Wnk2,Wnk2,WNK2,Serine/threonine-protein kinase WNK2,Other,WNK,,Q9Y3S1,CHEMBL5639,SINGLE PROTEIN
AKT1,AKT1,AKT1,RAC-alpha serine/threonine-protein kinase,AGC,Akt,,P31749,CHEMBL2111353,PROTEIN FAMILY
AKT1,AKT1,AKT1,RAC-alpha serine/threonine-protein kinase,AGC,Akt,,P31749,CHEMBL4282,SINGLE PROTEIN
AKT1,AKT1,AKT1,RAC-alpha serine/threonine-protein kinase,AGC,Akt,,P31749,CHEMBL3038463,PROTEIN COMPLEX
AKT1,AKT1,AKT1,RAC-alpha serine/threonine-protein kinase,AGC,Akt,,P31749,CHEMBL4106175,PROTEIN FAMILY
AKT1,AKT1,AKT1,RAC-alpha serine/threonine-protein kinase,AGC,Akt,,P31749,CHEMBL3885629,PROTEIN FAMILY
AKT2,AKT2,AKT2,RAC-beta serine/threonine-protein kinase,AGC,Akt,,P31751,CHEMBL2431,SINGLE PROTEIN
AKT2,AKT2,AKT2,RAC-beta serine/threonine-protein kinase,AGC,Akt,,P31751,CHEMBL2111353,PROTEIN FAMILY
AKT2,AKT2,AKT2,RAC-beta serine/threonine-protein kinase,AGC,Akt,,P31751,CHEMBL4106175,PROTEIN FAMILY
AKT3,AKT3,AKT3,RAC-gamma serine/threonine-protein kinase,AGC,Akt,,Q9Y243,CHEMBL2111353,PROTEIN FAMILY
AKT3,AKT3,AKT3,RAC-gamma serine/threonine-protein kinase,AGC,Akt,,Q9Y243,CHEMBL4816,SINGLE PROTEIN
CaMK1g,CaMK1g,CAMK1G,Calcium/calmodulin-dependent protein kinase type 1G,CAMK,CAMK1,,Q96NX5,CHEMBL5258,SINGLE PROTEIN
ALK,ALK,ALK,ALK tyrosine kinase receptor,TK,ALK,,Q9UM73,CHEMBL4247,SINGLE PROTEIN
ALK,ALK,ALK,ALK tyrosine kinase receptor,TK,ALK,,Q9UM73,CHEMBL2111387,CHIMERIC PROTEIN
ALK,ALK,ALK,ALK tyrosine kinase receptor,TK,ALK,,Q9UM73,CHEMBL3883330,CHIMERIC PROTEIN
ALK1,ALK1,ACVRL1,Serine/threonine-protein kinase receptor R3,TKL,STKR,STKR1,P37023,CHEMBL5311,SINGLE PROTEIN
ALK2,ALK2,ACVR1,Activin receptor type-1,TKL,STKR,STKR1,Q04771,CHEMBL5903,SINGLE PROTEIN
BMPR1A,BMPR1A,BMPR1A,Bone morphogenetic protein receptor type-1A,TKL,STKR,STKR1,P36894,CHEMBL5275,SINGLE PROTEIN
ALK4,ALK4,ACVR1B,Activin receptor type-1B,TKL,STKR,STKR1,P36896,CHEMBL5310,SINGLE PROTEIN
TGFbR1,TGFbR1,TGFBR1,TGF-beta receptor type-1,TKL,STKR,STKR1,P36897,CHEMBL4439,SINGLE PROTEIN
BMPR1B,BMPR1B,BMPR1B,Bone morphogenetic protein receptor type-1B,TKL,STKR,STKR1,O00238,CHEMBL5476,SINGLE PROTEIN
AMPKa1,AMPKa1,PRKAA1,5'-AMP-activated protein kinase catalytic subunit alpha-1,CAMK,CAMKL,AMPK,Q13131,CHEMBL4045,SINGLE PROTEIN
AMPKa1,AMPKa1,PRKAA1,5'-AMP-activated protein kinase catalytic subunit alpha-1,CAMK,CAMKL,AMPK,Q13131,CHEMBL2096907,PROTEIN COMPLEX GROUP
AMPKa1,AMPKa1,PRKAA1,5'-AMP-activated protein kinase catalytic subunit alpha-1,CAMK,CAMKL,AMPK,Q13131,CHEMBL2111345,PROTEIN COMPLEX
AMPKa1,AMPKa1,PRKAA1,5'-AMP-activated protein kinase catalytic subunit alpha-1,CAMK,CAMKL,AMPK,Q13131,CHEMBL3038451,PROTEIN COMPLEX
AMPKa1,AMPKa1,PRKAA1,5'-AMP-activated protein kinase catalytic subunit alpha-1,CAMK,CAMKL,AMPK,Q13131,CHEMBL3038452,PROTEIN COMPLEX
AMPKa1,AMPKa1,PRKAA1,5'-AMP-activated protein kinase catalytic subunit alpha-1,CAMK,CAMKL,AMPK,Q13131,CHEMBL3038453,PROTEIN COMPLEX
AMPKa1,AMPKa1,PRKAA1,5'-AMP-activated protein kinase catalytic subunit alpha-1,CAMK,CAMKL,AMPK,Q13131,CHEMBL3038454,PROTEIN COMPLEX
AMPKa1,AMPKa1,PRKAA1,5'-AMP-activated protein kinase catalytic subunit alpha-1,CAMK,CAMKL,AMPK,Q13131,CHEMBL4106162,PROTEIN COMPLEX
AMPKa1,AMPKa1,PRKAA1,5'-AMP-activated protein kinase catalytic subunit alpha-1,CAMK,CAMKL,AMPK,Q13131,CHEMBL4106163,PROTEIN COMPLEX
AMPKa2,AMPKa2,PRKAA2,5'-AMP-activated protein kinase catalytic subunit alpha-2,CAMK,CAMKL,AMPK,P54646,CHEMBL2116,SINGLE PROTEIN
AMPKa2,AMPKa2,PRKAA2,5'-AMP-activated protein kinase catalytic subunit alpha-2,CAMK,CAMKL,AMPK,P54646,CHEMBL2096907,PROTEIN COMPLEX GROUP
AMPKa2,AMPKa2,PRKAA2,5'-AMP-activated protein kinase catalytic subunit alpha-2,CAMK,CAMKL,AMPK,P54646,CHEMBL3038454,PROTEIN COMPLEX
AMPKa2,AMPKa2,PRKAA2,5'-AMP-activated protein kinase catalytic subunit alpha-2,CAMK,CAMKL,AMPK,P54646,CHEMBL3038455,PROTEIN COMPLEX
AMPKa2,AMPKa2,PRKAA2,5'-AMP-activated protein kinase catalytic subunit alpha-2,CAMK,CAMKL,AMPK,P54646,CHEMBL3038456,PROTEIN COMPLEX
AMPKa2,AMPKa2,PRKAA2,5'-AMP-activated protein kinase catalytic subunit alpha-2,CAMK,CAMKL,AMPK,P54646,CHEMBL3038457,PROTEIN COMPLEX
AMPKa2,AMPKa2,PRKAA2,5'-AMP-activated protein kinase catalytic subunit alpha-2,CAMK,CAMKL,AMPK,P54646,CHEMBL4106158,PROTEIN COMPLEX
AMPKa2,AMPKa2,PRKAA2,5'-AMP-activated protein kinase catalytic subunit alpha-2,CAMK,CAMKL,AMPK,P54646,CHEMBL4106159,PROTEIN COMPLEX
AMPKa2,AMPKa2,PRKAA2,5'-AMP-activated protein kinase catalytic subunit alpha-2,CAMK,CAMKL,AMPK,P54646,CHEMBL3885504,PROTEIN COMPLEX
ANPa,ANPa,NPR1,Atrial natriuretic peptide receptor 1,RGC,RGC,,P16066,CHEMBL1988,SINGLE PROTEIN
ANPa,ANPa,NPR1,Atrial natriuretic peptide receptor 1,RGC,RGC,,P16066,CHEMBL2111337,PROTEIN FAMILY
ANPb,ANPb,NPR2,Atrial natriuretic peptide receptor 2,RGC,RGC,,P20594,CHEMBL2111337,PROTEIN FAMILY
ARAF,ARAF,ARAF,Serine/threonine-protein kinase A-Raf,TKL,RAF,,P10398,CHEMBL1169596,SINGLE PROTEIN
ARAF,ARAF,ARAF,Serine/threonine-protein kinase A-Raf,TKL,RAF,,P10398,CHEMBL3559685,PROTEIN FAMILY
ABL2,ARG,ABL2,Abelson tyrosine-protein kinase 2,TK,Abl,,P42684,CHEMBL4014,SINGLE PROTEIN
ABL2,ARG,ABL2,Abelson tyrosine-protein kinase 2,TK,Abl,,P42684,CHEMBL2111414,PROTEIN FAMILY
ATM,ATM,ATM,Serine-protein kinase ATM,Atypical,PIKK,ATM,Q13315,CHEMBL3797,SINGLE PROTEIN
ATM,ATM,ATM,Serine-protein kinase ATM,Atypical,PIKK,ATM,Q13315,CHEMBL3885635,PROTEIN FAMILY
ATR,ATR,ATR,Serine/threonine-protein kinase ATR,Atypical,PIKK,ATR,Q13535,CHEMBL5024,SINGLE PROTEIN
ATR,ATR,ATR,Serine/threonine-protein kinase ATR,Atypical,PIKK,ATR,Q13535,CHEMBL4106138,PROTEIN COMPLEX
ATR,ATR,ATR,Serine/threonine-protein kinase ATR,Atypical,PIKK,ATR,Q13535,CHEMBL3885635,PROTEIN FAMILY
AurC,AurC,AURKC,Aurora kinase C,Other,Aur,,Q9UQB9,CHEMBL3935,SINGLE PROTEIN
AurC,AurC,AURKC,Aurora kinase C,Other,Aur,,Q9UQB9,CHEMBL3430911,PROTEIN FAMILY
AurC,AurC,AURKC,Aurora kinase C,Other,Aur,,Q9UQB9,CHEMBL4106141,PROTEIN COMPLEX
AXL,AXL,AXL,Tyrosine-protein kinase receptor UFO,TK,Axl,,P30530,CHEMBL4895,SINGLE PROTEIN
BARK1,BARK1,ADRBK1,Beta-adrenergic receptor kinase 1,AGC,GRK,BARK,P25098,CHEMBL4079,SINGLE PROTEIN
GCK,GCK,MAP4K2,Mitogen-activated protein kinase kinase kinase kinase 2,STE,STE20,KHS,Q12851,CHEMBL5330,SINGLE PROTEIN
BLK,BLK,BLK,Tyrosine-protein kinase Blk,TK,Src,,P51451,CHEMBL2250,SINGLE PROTEIN
BLK,BLK,BLK,Tyrosine-protein kinase Blk,TK,Src,,P51451,CHEMBL2363074,PROTEIN FAMILY
BRAF,BRAF,BRAF,Serine/threonine-protein kinase B-raf,TKL,RAF,,P15056,CHEMBL5145,SINGLE PROTEIN
BRAF,BRAF,BRAF,Serine/threonine-protein kinase B-raf,TKL,RAF,,P15056,CHEMBL3559685,PROTEIN FAMILY
BRAF,BRAF,BRAF,Serine/threonine-protein kinase B-raf,TKL,RAF,,P15056,CHEMBL4106189,PROTEIN COMPLEX
BRAF,BRAF,BRAF,Serine/threonine-protein kinase B-raf,TKL,RAF,,P15056,CHEMBL3883317,PROTEIN FAMILY
BRK,BRK,PTK6,Protein-tyrosine kinase 6,TK,Src,,Q13882,CHEMBL4601,SINGLE PROTEIN
BTK,BTK,BTK,Tyrosine-protein kinase BTK,TK,Tec,,Q06187,CHEMBL5251,SINGLE PROTEIN
CDK7,CDK7,CDK7,Cyclin-dependent kinase 7,CMGC,CDK,CDK7,P50613,CHEMBL3055,SINGLE PROTEIN
CDK7,CDK7,CDK7,Cyclin-dependent kinase 7,CMGC,CDK,CDK7,P50613,CHEMBL2111288,PROTEIN COMPLEX
CDK7,CDK7,CDK7,Cyclin-dependent kinase 7,CMGC,CDK,CDK7,P50613,CHEMBL3038473,PROTEIN COMPLEX
CDK7,CDK7,CDK7,Cyclin-dependent kinase 7,CMGC,CDK,CDK7,P50613,CHEMBL3559691,PROTEIN FAMILY
CaMK1a,CaMK1a,CAMK1,Calcium/calmodulin-dependent protein kinase type 1,CAMK,CAMK1,,Q14012,CHEMBL2493,SINGLE PROTEIN
CaMK2a,CaMK2a,CAMK2A,Calcium/calmodulin-dependent protein kinase type II subunit alpha,CAMK,CAMK2,,Q9UQM7,CHEMBL4147,SINGLE PROTEIN
CaMK2a,CaMK2a,CAMK2A,Calcium/calmodulin-dependent protein kinase type II subunit alpha,CAMK,CAMK2,,Q9UQM7,CHEMBL2097164,PROTEIN FAMILY
CaMK2b,CaMK2b,CAMK2B,Calcium/calmodulin-dependent protein kinase type II subunit beta,CAMK,CAMK2,,Q13554,CHEMBL4121,SINGLE PROTEIN
CaMK2b,CaMK2b,CAMK2B,Calcium/calmodulin-dependent protein kinase type II subunit beta,CAMK,CAMK2,,Q13554,CHEMBL2097164,PROTEIN FAMILY
CaMK2g,CaMK2g,CAMK2G,Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma,CAMK,CAMK2,,Q13555,CHEMBL3829,SINGLE PROTEIN
CaMK2g,CaMK2g,CAMK2G,Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma,CAMK,CAMK2,,Q13555,CHEMBL2097164,PROTEIN FAMILY
CaMK4,CaMK4,CAMK4,Calcium/calmodulin-dependent protein kinase type IV,CAMK,CAMK1,,Q16566,CHEMBL2494,SINGLE PROTEIN
DCAMKL1,DCAMKL1,DCLK1,Serine/threonine-protein kinase DCLK1,CAMK,DCAMKL,,O15075,CHEMBL5683,SINGLE PROTEIN
CASK,CASK,CASK,Peripheral plasma membrane protein CASK,CAMK,CASK,,O14936,CHEMBL1908381,SINGLE PROTEIN
CDC2,CDC2,CDK1,Cyclin-dependent kinase 1,CMGC,CDK,CDC2,P06493,CHEMBL308,SINGLE PROTEIN
CDC2,CDC2,CDK1,Cyclin-dependent kinase 1,CMGC,CDK,CDC2,P06493,CHEMBL2094127,PROTEIN COMPLEX
CDC2,CDC2,CDK1,Cyclin-dependent kinase 1,CMGC,CDK,CDC2,P06493,CHEMBL1907602,PROTEIN COMPLEX
CDC2,CDC2,CDK1,Cyclin-dependent kinase 1,CMGC,CDK,CDC2,P06493,CHEMBL3038467,PROTEIN COMPLEX
CDC2,CDC2,CDK1,Cyclin-dependent kinase 1,CMGC,CDK,CDC2,P06493,CHEMBL3038468,PROTEIN COMPLEX
CDC2,CDC2,CDK1,Cyclin-dependent kinase 1,CMGC,CDK,CDC2,P06493,CHEMBL3559691,PROTEIN FAMILY
CDC2,CDC2,CDK1,Cyclin-dependent kinase 1,CMGC,CDK,CDC2,P06493,CHEMBL3885551,PROTEIN COMPLEX
CDC7,CDC7,CDC7,Cell division cycle 7-related protein kinase,Other,CDC7,,O00311,CHEMBL2111377,PROTEIN COMPLEX
